,idx,target,captions,path
0,0,0,araffe flying over the ocean with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg
1,1,0,araffe flying over the ocean with a cloudy sky in the background,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg
2,2,0,there is a bird flying in the sky with a long tail,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg
3,3,0,arafed bird with a long beak and a long beak,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg
4,4,0,there is a bird that is swimming in the water,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg
5,5,0,araffe flying over the ocean with a wave in the background,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg
6,6,0,there is a bird flying over the water with a long beak,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg
7,7,0,araffe flying over the ocean with a fish in its beak,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg
8,8,0,araffe flying over the water with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg
9,9,0,araffe flying in the air with a fish in its beak,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg
10,10,0,arafed duck in the water with a long beak,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg
11,11,0,there is a duck swimming in the water with a fish in its mouth,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg
12,12,0,there is a bird that is flying over the water,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg
13,13,0,araffe flying in the sky with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg
14,14,0,arafed bird flying over the ocean with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg
15,15,0,arafed bird flying over the ocean with a blue sky in the background,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg
16,16,0,there is a bird that is swimming in the water,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg
17,17,0,there is a bird flying over the water with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg
18,18,0,there is a bird flying over the water with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg
19,19,0,there is a bird flying over the water with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg
20,20,0,there is a bird that is flying over the water,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg
21,21,0,arafed duck swimming in the water with its head above the water,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg
22,22,0,araffe in the water with a white head and brown body,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg
23,23,0,there is a bird that is flying over the water,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg
24,24,0,there is a duck that is swimming in the water,/shared/lisabdunlap/data/CUB_200_2011/images/001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg
25,25,1,araffe standing in front of a tree in a grassy area,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg
26,26,1,there is a bird that is standing in the water with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg
27,27,1,araffe flying in the sky with its wings spread out,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg
28,28,1,araffe flying over the water with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg
29,29,1,araffe flying in the sky with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg
30,30,1,there is a white and black bird sitting on the ground,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg
31,31,1,there is a bird that is flying over the water,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg
32,32,1,there is a bird that is flying in the sky with its wings spread,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg
33,33,1,there is a bird that is sitting in the water,/shared/lisabdunlap/data/CUB_200_2011/images/002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg
