Unnamed: 0,Split,Plane,Ground,Filename,Label,Group
0,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0732456.jpg,1,2
1,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0788947.jpg,1,2
2,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0056297.jpg,1,2
3,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0942001.jpg,1,2
4,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1605155.jpg,1,2
5,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1284239.jpg,1,2
6,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0443893.jpg,1,2
7,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0853774.jpg,1,2
8,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1514487.jpg,1,2
9,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0056299.jpg,1,2
10,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1107747.jpg,1,2
11,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1726606.jpg,1,2
12,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0977347.jpg,1,2
13,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1022382.jpg,1,2
14,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0842381.jpg,1,2
15,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0829998.jpg,1,2
16,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1146172.jpg,1,2
17,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1264479.jpg,1,2
18,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0448006.jpg,1,2
19,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0494862.jpg,1,2
20,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0458643.jpg,1,2
21,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1197395.jpg,1,2
22,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/0979376.jpg,1,2
23,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1606594.jpg,1,2
24,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1543529.jpg,1,2
25,train,Boeing,grass,data/planes/manufacturer/biased_ground_type/train/Boeing/grass/1143409.jpg,1,2
