,Unnamed: 0,split,location_remapped,location,sequence_remapped,seq_id,y,category_id,datetime,filename,image_id
58262,58262,train,1,1,91,2ffda422-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:34:39.000,8f618aec-21bc-11ea-a13a-137349068a90.jpg,8f618aec-21bc-11ea-a13a-137349068a90
58263,58263,train,1,1,91,2ffda422-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:34:40.000,8d771a62-21bc-11ea-a13a-137349068a90.jpg,8d771a62-21bc-11ea-a13a-137349068a90
58264,58264,train,1,1,91,2ffda422-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:34:41.000,96de2c76-21bc-11ea-a13a-137349068a90.jpg,96de2c76-21bc-11ea-a13a-137349068a90
58265,58265,train,1,1,91,2ffda422-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:35:12.000,8f57fd7e-21bc-11ea-a13a-137349068a90.jpg,8f57fd7e-21bc-11ea-a13a-137349068a90
58266,58266,train,1,1,91,2ffda422-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:35:13.000,967f0444-21bc-11ea-a13a-137349068a90.jpg,967f0444-21bc-11ea-a13a-137349068a90
58267,58267,train,1,1,91,2ffda422-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:35:14.000,8efee2ac-21bc-11ea-a13a-137349068a90.jpg,8efee2ac-21bc-11ea-a13a-137349068a90
58268,58268,train,1,1,91,2ffda422-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:35:32.000,9266928c-21bc-11ea-a13a-137349068a90.jpg,9266928c-21bc-11ea-a13a-137349068a90
58269,58269,train,1,1,91,2ffda422-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:35:33.000,90635556-21bc-11ea-a13a-137349068a90.jpg,90635556-21bc-11ea-a13a-137349068a90
58270,58270,train,1,1,91,2ffda422-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:35:34.000,9762fed8-21bc-11ea-a13a-137349068a90.jpg,9762fed8-21bc-11ea-a13a-137349068a90
58271,58271,train,1,1,91,2ffda422-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:36:05.000,8875a56a-21bc-11ea-a13a-137349068a90.jpg,8875a56a-21bc-11ea-a13a-137349068a90
58272,58272,train,1,1,92,2ffda49a-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:36:06.000,9839931c-21bc-11ea-a13a-137349068a90.jpg,9839931c-21bc-11ea-a13a-137349068a90
58273,58273,train,1,1,92,2ffda49a-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:36:07.000,93a0976a-21bc-11ea-a13a-137349068a90.jpg,93a0976a-21bc-11ea-a13a-137349068a90
58274,58274,train,1,1,92,2ffda49a-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:36:27.000,8c60916c-21bc-11ea-a13a-137349068a90.jpg,8c60916c-21bc-11ea-a13a-137349068a90
58275,58275,train,1,1,92,2ffda49a-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:36:28.000,8ab0562c-21bc-11ea-a13a-137349068a90.jpg,8ab0562c-21bc-11ea-a13a-137349068a90
58276,58276,train,1,1,92,2ffda49a-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:36:29.000,956fcaca-21bc-11ea-a13a-137349068a90.jpg,956fcaca-21bc-11ea-a13a-137349068a90
58277,58277,train,1,1,92,2ffda49a-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:36:44.000,87f49e2a-21bc-11ea-a13a-137349068a90.jpg,87f49e2a-21bc-11ea-a13a-137349068a90
58278,58278,train,1,1,92,2ffda49a-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:36:45.000,91cd31aa-21bc-11ea-a13a-137349068a90.jpg,91cd31aa-21bc-11ea-a13a-137349068a90
58279,58279,train,1,1,92,2ffda49a-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:36:46.000,87325ff4-21bc-11ea-a13a-137349068a90.jpg,87325ff4-21bc-11ea-a13a-137349068a90
58280,58280,train,1,1,92,2ffda49a-7d42-11eb-8fb5-0242ac1c0002,24,71,2013-01-20 11:37:22.000,8eacc2c4-21bc-11ea-a13a-137349068a90.jpg,8eacc2c4-21bc-11ea-a13a-137349068a90
