Unnamed: 0.1,Unnamed: 0,split,location_remapped,location,sequence_remapped,seq_id,y,category_id,datetime,filename,image_id
143891,143891,train,223,395,3006,30077f4c-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-06-02 20:46:24.000,9122091a-21bc-11ea-a13a-137349068a90.jpg,9122091a-21bc-11ea-a13a-137349068a90
143892,143892,train,223,395,3006,30077f4c-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-06-02 20:46:25.000,8bbc35e0-21bc-11ea-a13a-137349068a90.jpg,8bbc35e0-21bc-11ea-a13a-137349068a90
143893,143893,train,223,395,3006,30077f4c-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-06-02 20:46:25.000,94c01a76-21bc-11ea-a13a-137349068a90.jpg,94c01a76-21bc-11ea-a13a-137349068a90
143920,143920,train,223,395,3012,30078406-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-07-01 12:42:46.000,89822294-21bc-11ea-a13a-137349068a90.jpg,89822294-21bc-11ea-a13a-137349068a90
143921,143921,train,223,395,3012,30078406-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-07-01 12:42:47.000,879a4dd0-21bc-11ea-a13a-137349068a90.jpg,879a4dd0-21bc-11ea-a13a-137349068a90
143922,143922,train,223,395,3012,30078406-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-07-01 12:42:48.000,8ab9764e-21bc-11ea-a13a-137349068a90.jpg,8ab9764e-21bc-11ea-a13a-137349068a90
143923,143923,train,223,395,3012,30078406-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-07-01 12:42:49.000,940ee06c-21bc-11ea-a13a-137349068a90.jpg,940ee06c-21bc-11ea-a13a-137349068a90
143924,143924,train,223,395,3012,30078406-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-07-01 12:42:50.000,94205c66-21bc-11ea-a13a-137349068a90.jpg,94205c66-21bc-11ea-a13a-137349068a90
143925,143925,train,223,395,3012,30078406-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-07-01 12:42:52.000,96fe9c72-21bc-11ea-a13a-137349068a90.jpg,96fe9c72-21bc-11ea-a13a-137349068a90
143926,143926,train,223,395,3012,30078406-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-07-01 12:42:53.000,89581e04-21bc-11ea-a13a-137349068a90.jpg,89581e04-21bc-11ea-a13a-137349068a90
143927,143927,train,223,395,3012,30078406-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-07-01 12:42:54.000,94d5454a-21bc-11ea-a13a-137349068a90.jpg,94d5454a-21bc-11ea-a13a-137349068a90
143928,143928,train,223,395,3012,30078406-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-07-01 12:42:55.000,97fb737a-21bc-11ea-a13a-137349068a90.jpg,97fb737a-21bc-11ea-a13a-137349068a90
143929,143929,train,223,395,3012,30078406-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-07-01 12:42:56.000,9588c5b6-21bc-11ea-a13a-137349068a90.jpg,9588c5b6-21bc-11ea-a13a-137349068a90
143972,143972,train,223,395,3018,30078898-7d42-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:31:51.000,945c8e20-21bc-11ea-a13a-137349068a90.jpg,945c8e20-21bc-11ea-a13a-137349068a90
143973,143973,train,223,395,3018,30078898-7d42-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:31:53.000,87be97c6-21bc-11ea-a13a-137349068a90.jpg,87be97c6-21bc-11ea-a13a-137349068a90
143974,143974,train,223,395,3018,30078898-7d42-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:31:53.000,88cc8d1c-21bc-11ea-a13a-137349068a90.jpg,88cc8d1c-21bc-11ea-a13a-137349068a90
143975,143975,train,223,395,3018,30078898-7d42-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:31:54.000,9647ced4-21bc-11ea-a13a-137349068a90.jpg,9647ced4-21bc-11ea-a13a-137349068a90
143976,143976,train,223,395,3018,30078898-7d42-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:31:55.000,96369448-21bc-11ea-a13a-137349068a90.jpg,96369448-21bc-11ea-a13a-137349068a90
143977,143977,train,223,395,3018,30078898-7d42-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:31:56.000,93bf05ec-21bc-11ea-a13a-137349068a90.jpg,93bf05ec-21bc-11ea-a13a-137349068a90
143978,143978,train,223,395,3018,30078898-7d42-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:31:57.000,8e375732-21bc-11ea-a13a-137349068a90.jpg,8e375732-21bc-11ea-a13a-137349068a90
143979,143979,train,223,395,3018,30078898-7d42-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:31:58.000,8b3f55ac-21bc-11ea-a13a-137349068a90.jpg,8b3f55ac-21bc-11ea-a13a-137349068a90
143980,143980,train,223,395,3018,30078898-7d42-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:31:58.000,97b99a2c-21bc-11ea-a13a-137349068a90.jpg,97b99a2c-21bc-11ea-a13a-137349068a90
143981,143981,train,223,395,3018,30078898-7d42-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:31:59.000,9674e31a-21bc-11ea-a13a-137349068a90.jpg,9674e31a-21bc-11ea-a13a-137349068a90
144139,144139,train,223,395,14547,371a905a-7d2c-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:09:17.000,9939f34c-21bc-11ea-a13a-137349068a90.jpg,9939f34c-21bc-11ea-a13a-137349068a90
144140,144140,train,223,395,14547,371a905a-7d2c-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:09:18.000,8b904700-21bc-11ea-a13a-137349068a90.jpg,8b904700-21bc-11ea-a13a-137349068a90
144141,144141,train,223,395,14547,371a905a-7d2c-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:09:19.000,9290eae6-21bc-11ea-a13a-137349068a90.jpg,9290eae6-21bc-11ea-a13a-137349068a90
144142,144142,train,223,395,14548,371a90e6-7d2c-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:13:20.000,95b5b59e-21bc-11ea-a13a-137349068a90.jpg,95b5b59e-21bc-11ea-a13a-137349068a90
144143,144143,train,223,395,14548,371a90e6-7d2c-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:13:21.000,959650dc-21bc-11ea-a13a-137349068a90.jpg,959650dc-21bc-11ea-a13a-137349068a90
144144,144144,train,223,395,14548,371a90e6-7d2c-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:13:22.000,9280078a-21bc-11ea-a13a-137349068a90.jpg,9280078a-21bc-11ea-a13a-137349068a90
144145,144145,train,223,395,14548,371a90e6-7d2c-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:13:33.000,89c19942-21bc-11ea-a13a-137349068a90.jpg,89c19942-21bc-11ea-a13a-137349068a90
144146,144146,train,223,395,14548,371a90e6-7d2c-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:13:34.000,8905c190-21bc-11ea-a13a-137349068a90.jpg,8905c190-21bc-11ea-a13a-137349068a90
144147,144147,train,223,395,14548,371a90e6-7d2c-11eb-8fb5-0242ac1c0002,2,3,2013-07-07 06:13:35.000,8899efec-21bc-11ea-a13a-137349068a90.jpg,8899efec-21bc-11ea-a13a-137349068a90
152947,152947,train,243,428,4950,300df926-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-05-28 20:04:57.000,9559da76-21bc-11ea-a13a-137349068a90.jpg,9559da76-21bc-11ea-a13a-137349068a90
152948,152948,train,243,428,4950,300df926-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-05-28 20:04:58.000,8c691346-21bc-11ea-a13a-137349068a90.jpg,8c691346-21bc-11ea-a13a-137349068a90
152949,152949,train,243,428,4950,300df926-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-05-28 20:04:59.000,9166706e-21bc-11ea-a13a-137349068a90.jpg,9166706e-21bc-11ea-a13a-137349068a90
152950,152950,train,243,428,4950,300df926-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-05-28 20:05:00.000,98f505e8-21bc-11ea-a13a-137349068a90.jpg,98f505e8-21bc-11ea-a13a-137349068a90
152951,152951,train,243,428,4950,300df926-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-05-28 20:05:00.000,967fecba-21bc-11ea-a13a-137349068a90.jpg,967fecba-21bc-11ea-a13a-137349068a90
152952,152952,train,243,428,4950,300df926-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-05-28 20:05:01.000,8f352a2e-21bc-11ea-a13a-137349068a90.jpg,8f352a2e-21bc-11ea-a13a-137349068a90
152953,152953,train,243,428,4950,300df926-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-05-28 20:05:02.000,8ae4f562-21bc-11ea-a13a-137349068a90.jpg,8ae4f562-21bc-11ea-a13a-137349068a90
152954,152954,train,243,428,4950,300df926-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-05-28 20:05:02.000,86a4beb0-21bc-11ea-a13a-137349068a90.jpg,86a4beb0-21bc-11ea-a13a-137349068a90
152955,152955,train,243,428,4950,300df926-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-05-28 20:05:03.000,8d021852-21bc-11ea-a13a-137349068a90.jpg,8d021852-21bc-11ea-a13a-137349068a90
152956,152956,train,243,428,4950,300df926-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-05-28 20:05:04.000,97bb08e4-21bc-11ea-a13a-137349068a90.jpg,97bb08e4-21bc-11ea-a13a-137349068a90
153067,153067,train,243,428,4966,300e05ce-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-06-18 01:00:24.000,8f482e44-21bc-11ea-a13a-137349068a90.jpg,8f482e44-21bc-11ea-a13a-137349068a90
153068,153068,train,243,428,4966,300e05ce-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-06-18 01:00:25.000,8ba90470-21bc-11ea-a13a-137349068a90.jpg,8ba90470-21bc-11ea-a13a-137349068a90
153069,153069,train,243,428,4966,300e05ce-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-06-18 01:00:26.000,95b3360c-21bc-11ea-a13a-137349068a90.jpg,95b3360c-21bc-11ea-a13a-137349068a90
153070,153070,train,243,428,4966,300e05ce-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-06-18 01:00:26.000,9426de38-21bc-11ea-a13a-137349068a90.jpg,9426de38-21bc-11ea-a13a-137349068a90
153071,153071,train,243,428,4966,300e05ce-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-06-18 01:00:27.000,932786a4-21bc-11ea-a13a-137349068a90.jpg,932786a4-21bc-11ea-a13a-137349068a90
153072,153072,train,243,428,4966,300e05ce-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-06-18 01:00:28.000,951cd694-21bc-11ea-a13a-137349068a90.jpg,951cd694-21bc-11ea-a13a-137349068a90
153073,153073,train,243,428,4966,300e05ce-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-06-18 01:00:28.000,928a317e-21bc-11ea-a13a-137349068a90.jpg,928a317e-21bc-11ea-a13a-137349068a90
153074,153074,train,243,428,4966,300e05ce-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-06-18 01:00:29.000,8815f854-21bc-11ea-a13a-137349068a90.jpg,8815f854-21bc-11ea-a13a-137349068a90
153075,153075,train,243,428,4966,300e05ce-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-06-18 01:00:29.000,90fdcb68-21bc-11ea-a13a-137349068a90.jpg,90fdcb68-21bc-11ea-a13a-137349068a90
153076,153076,train,243,428,4966,300e05ce-7d42-11eb-8fb5-0242ac1c0002,148,375,2013-06-18 01:00:30.000,99583852-21bc-11ea-a13a-137349068a90.jpg,99583852-21bc-11ea-a13a-137349068a90
