split,location_remapped,location,sequence_remapped,seq_id,y,category_id,datetime,filename,image_id
test,24,53,10116,30200b20-7d42-11eb-8fb5-0242ac1c0002,24,71,2015-02-07 10:59:15.000,90b4425e-21bc-11ea-a13a-137349068a90.jpg,90b4425e-21bc-11ea-a13a-137349068a90
test,24,53,10116,30200b20-7d42-11eb-8fb5-0242ac1c0002,24,71,2015-02-07 10:59:16.000,89e6a57a-21bc-11ea-a13a-137349068a90.jpg,89e6a57a-21bc-11ea-a13a-137349068a90
test,24,53,10116,30200b20-7d42-11eb-8fb5-0242ac1c0002,24,71,2015-02-07 10:59:17.000,871db9aa-21bc-11ea-a13a-137349068a90.jpg,871db9aa-21bc-11ea-a13a-137349068a90
test,24,53,10116,30200b20-7d42-11eb-8fb5-0242ac1c0002,24,71,2015-02-07 10:59:37.000,910744cc-21bc-11ea-a13a-137349068a90.jpg,910744cc-21bc-11ea-a13a-137349068a90
test,24,53,10116,30200b20-7d42-11eb-8fb5-0242ac1c0002,24,71,2015-02-07 10:59:38.000,951b2f92-21bc-11ea-a13a-137349068a90.jpg,951b2f92-21bc-11ea-a13a-137349068a90
test,24,53,10116,30200b20-7d42-11eb-8fb5-0242ac1c0002,24,71,2015-02-07 10:59:39.000,904dbd72-21bc-11ea-a13a-137349068a90.jpg,904dbd72-21bc-11ea-a13a-137349068a90
test,24,53,10116,30200b20-7d42-11eb-8fb5-0242ac1c0002,24,71,2015-02-07 10:59:54.000,98a50bc4-21bc-11ea-a13a-137349068a90.jpg,98a50bc4-21bc-11ea-a13a-137349068a90
test,24,53,10116,30200b20-7d42-11eb-8fb5-0242ac1c0002,24,71,2015-02-07 10:59:55.000,8b17814e-21bc-11ea-a13a-137349068a90.jpg,8b17814e-21bc-11ea-a13a-137349068a90
test,24,53,10116,30200b20-7d42-11eb-8fb5-0242ac1c0002,24,71,2015-02-07 10:59:56.000,87b2b898-21bc-11ea-a13a-137349068a90.jpg,87b2b898-21bc-11ea-a13a-137349068a90
test,24,53,10116,30200b20-7d42-11eb-8fb5-0242ac1c0002,24,71,2015-02-07 11:00:25.000,98713c22-21bc-11ea-a13a-137349068a90.jpg,98713c22-21bc-11ea-a13a-137349068a90
test,24,53,10117,30200d6e-7d42-11eb-8fb5-0242ac1c0002,24,71,2015-02-07 11:00:26.000,8e3df150-21bc-11ea-a13a-137349068a90.jpg,8e3df150-21bc-11ea-a13a-137349068a90
test,24,53,10117,30200d6e-7d42-11eb-8fb5-0242ac1c0002,24,71,2015-02-07 11:00:27.000,97da7346-21bc-11ea-a13a-137349068a90.jpg,97da7346-21bc-11ea-a13a-137349068a90
test,24,53,10117,30200d6e-7d42-11eb-8fb5-0242ac1c0002,24,71,2015-02-07 11:01:23.000,93774496-21bc-11ea-a13a-137349068a90.jpg,93774496-21bc-11ea-a13a-137349068a90
test,24,53,10117,30200d6e-7d42-11eb-8fb5-0242ac1c0002,24,71,2015-02-07 11:01:24.000,95d89e2e-21bc-11ea-a13a-137349068a90.jpg,95d89e2e-21bc-11ea-a13a-137349068a90
test,24,53,10117,30200d6e-7d42-11eb-8fb5-0242ac1c0002,24,71,2015-02-07 11:01:25.000,8df63cd4-21bc-11ea-a13a-137349068a90.jpg,8df63cd4-21bc-11ea-a13a-137349068a90
