,Unnamed: 0,split,location_remapped,location,sequence_remapped,seq_id,y,category_id,datetime,filename,image_id
58649,58649,train,2,3,1965,300408bc-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-04-12 17:30:57.000,8ef97236-21bc-11ea-a13a-137349068a90.jpg,8ef97236-21bc-11ea-a13a-137349068a90
58650,58650,train,2,3,1965,300408bc-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-04-12 17:30:59.000,964a2378-21bc-11ea-a13a-137349068a90.jpg,964a2378-21bc-11ea-a13a-137349068a90
58651,58651,train,2,3,1965,300408bc-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-04-12 17:31:00.000,95d32c32-21bc-11ea-a13a-137349068a90.jpg,95d32c32-21bc-11ea-a13a-137349068a90
58652,58652,train,2,3,1965,300408bc-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-04-12 17:31:00.000,91c900da-21bc-11ea-a13a-137349068a90.jpg,91c900da-21bc-11ea-a13a-137349068a90
58653,58653,train,2,3,1965,300408bc-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-04-12 17:31:01.000,86dfaf2a-21bc-11ea-a13a-137349068a90.jpg,86dfaf2a-21bc-11ea-a13a-137349068a90
58654,58654,train,2,3,1966,30040934-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-04-12 17:31:02.000,95f53e62-21bc-11ea-a13a-137349068a90.jpg,95f53e62-21bc-11ea-a13a-137349068a90
58655,58655,train,2,3,1966,30040934-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-04-12 17:31:03.000,97ebd910-21bc-11ea-a13a-137349068a90.jpg,97ebd910-21bc-11ea-a13a-137349068a90
58656,58656,train,2,3,1966,30040934-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-04-12 17:31:04.000,93dbdfd2-21bc-11ea-a13a-137349068a90.jpg,93dbdfd2-21bc-11ea-a13a-137349068a90
58657,58657,train,2,3,1966,30040934-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-04-12 17:31:05.000,86859c6a-21bc-11ea-a13a-137349068a90.jpg,86859c6a-21bc-11ea-a13a-137349068a90
58658,58658,train,2,3,1966,30040934-7d42-11eb-8fb5-0242ac1c0002,0,0,2013-04-12 17:31:05.000,909260bc-21bc-11ea-a13a-137349068a90.jpg,909260bc-21bc-11ea-a13a-137349068a90
